EJERCICIO,NRO_OP,NRO_REG_COMP,TIPO_COMPROB,NRO_COMPROB,COD_PROV,CODIGO_FF,INCISO,PAR_PRIN,PAR_PARC,PAR_SUBP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,IMPORTE_IMPUT
2026,291,239,FAC,0002-00000324,2490,131,3,2,2,0,1110104000,16,0,0,26000.0
2026,292,674,FAB,0004-00016159,1524,131,2,9,5,0,1110104000,16,0,0,324500.0
2026,293,675,FAB,0007-02444123,2969,110,3,1,4,0,1110102000,1,0,0,1134219.27
2026,294,676,FAB,2465-56634916,50002,110,3,1,4,0,1110102000,1,0,0,34065.78
2026,295,275,FAB,0003-00002843,3395,110,2,9,3,0,1110118000,46,0,0,20000.0
2026,295,275,FAB,0003-00002843,3395,110,2,9,6,0,1110118000,46,0,0,315000.0
2026,296,171,FAB,0006-00000818,2627,131,2,1,1,0,1110104000,16,0,0,40800.0
2026,297,203,FAB,0006-00000816,2627,131,2,1,1,0,1110104000,16,0,0,30000.0
2026,298,148,FAB,0006-00000819,2627,131,2,1,1,0,1110104000,16,0,0,33000.0
2026,299,106,FAB,0006-00000813,2627,131,2,1,1,0,1110104000,16,0,0,18000.0
2026,300,588,FAB,0006-00000820,2627,131,2,1,1,0,1110104000,16,0,0,52000.0
2026,301,592,FAB,0006-00000821,2627,131,2,1,1,0,1110104000,16,0,0,33000.0
2026,302,96,FAB,0006-00000811,2627,131,2,1,1,0,1110104000,16,0,0,69000.0
2026,303,172,FAB,0006-00000815,2627,131,2,1,1,0,1110104000,16,0,0,32500.0
2026,304,181,FAB,0006-00000814,2627,131,2,1,1,0,1110104000,16,0,0,33000.0
2026,305,206,FAB,0006-00000817,2627,131,2,1,1,0,1110104000,16,0,0,18000.0
2026,306,95,FAB,0006-00000812,2627,131,2,1,1,0,1110104000,16,0,0,32400.0
2026,307,54,FAB,0011-00005933,3218,132,3,9,3,0,1110105000,50,0,0,94889.98
2026,308,684,LIQ,9139-94353532,50008,110,1,1,1,0,1110101000,1,0,0,757195.8
2026,308,684,LIQ,9139-94353532,50008,110,1,1,3,0,1110101000,1,0,0,1324125.86
2026,308,684,LIQ,9139-94353532,50008,110,1,1,7,0,1110101000,1,0,0,160972.45
2026,309,685,LIQ,4000-00013256,50051,110,1,1,6,1,1110101000,1,0,0,249758.6
2026,310,686,LIQ,0040-00013250,50052,110,1,1,6,2,1110101000,1,0,0,99903.44
2026,311,687,LIQ,9139-94353533,50008,110,1,1,1,0,1110102000,1,0,0,5558655.59
2026,311,687,LIQ,9139-94353533,50008,110,1,1,3,0,1110102000,1,0,0,6649300.71
2026,311,687,LIQ,9139-94353533,50008,110,1,1,7,0,1110102000,1,0,0,2065560.75
2026,311,687,LIQ,9139-94353533,50008,110,1,2,1,0,1110102000,1,0,0,4793050.08
2026,311,687,LIQ,9139-94353533,50008,110,1,2,2,0,1110102000,1,0,0,1330845.24
2026,311,687,LIQ,9139-94353533,50008,110,1,2,6,0,1110102000,1,0,0,7500.0
2026,311,687,LIQ,9139-94353533,50008,110,1,4,0,0,1110102000,1,0,0,299919.0
2026,311,687,LIQ,9139-94353533,50008,110,1,6,0,0,1110102000,1,0,0,590544.91
2026,312,688,LIQ,9139-94353534,50008,110,1,1,1,0,1110102000,52,0,0,400584.43
2026,312,688,LIQ,9139-94353534,50008,110,1,1,3,0,1110102000,52,0,0,843414.3
2026,312,688,LIQ,9139-94353534,50008,110,1,1,7,0,1110102000,52,0,0,360532.9
2026,312,688,LIQ,9139-94353534,50008,110,1,2,1,0,1110102000,52,0,0,2156350.81
2026,312,688,LIQ,9139-94353534,50008,110,1,2,2,0,1110102000,52,0,0,584872.26
2026,312,688,LIQ,9139-94353534,50008,110,1,2,6,0,1110102000,52,0,0,4500.0
2026,312,688,LIQ,9139-94353534,50008,110,1,4,0,0,1110102000,52,0,0,121942.0
