EJERCICIO,NRO_OP,NRO_REG_COMP,TIPO_COMPROB,NRO_COMPROB,COD_PROV,CODIGO_FF,INCISO,PAR_PRIN,PAR_PARC,PAR_SUBP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,IMPORTE_IMPUT
2026,1415,2014,FAB,7004-68784143,50023,110,3,1,3,0,1110105000,50,0,0,23380.77
2026,1415,2014,FAB,7004-68784142,50023,110,3,1,3,0,1110105000,50,0,0,23383.5
2026,1415,2014,FAB,7004-68784158,50023,110,3,1,3,0,1110105000,50,0,0,23380.77
2026,1418,2017,FAB,4264-53178415,50036,132,3,1,4,0,1110102000,33,0,0,122860.0
2026,1419,2018,FAB,7004-68784191,50023,132,3,1,3,0,1110105000,50,0,0,24444.19
2026,1420,2019,FAB,7004-68784186,50023,110,3,1,3,0,1110200000,1,0,0,23386.49
2026,1423,2022,FAB,2022-50000061,50070,131,3,5,4,0,1110111000,23,0,0,120487.04
2026,1425,168,FAC,0009-00000113,2538,131,3,3,9,0,1110104000,16,0,0,156000.0
2026,1426,2023,FAB,2022-50000062,50070,110,3,5,4,0,1110102000,1,0,0,16858033.1
2026,1430,2025,FAB,7004-68784169,50023,110,3,1,3,0,1110104000,16,0,0,398473.18
2026,1430,2025,FAB,7004-68784188,50023,110,3,1,3,0,1110104000,16,0,0,138598.0
2026,1430,2025,FAB,7004-68784192,50023,110,3,1,3,0,1110104000,16,0,0,28797.78
2026,1430,2025,FAB,7004-68784193,50023,110,3,1,3,0,1110104000,16,0,0,23471.71
2026,1436,1793,FAC,0001-00000286,3563,110,3,5,9,0,1110105000,50,0,0,500000.0
2026,1431,2025,FAB,7004-68784190,50023,110,3,1,3,0,1110104000,16,0,0,27863.42
2026,1435,2036,FAB,7004-68784167,50023,110,3,1,3,0,1110103000,1,0,0,42011.79
2026,1437,1750,FAB,0006-00000834,2627,131,2,1,1,0,1110104000,16,0,0,36000.0
2026,929,1275,FAC,0002-00000212,3220,110,3,3,2,0,1110113000,42,0,0,440000.0
2026,930,518,FAB,0007-02484755,2969,110,3,6,1,0,1110115000,1,0,0,150000.01
2026,931,1478,COM,2025-10000001,50431,131,5,1,7,0,1110101000,1,0,0,600.0
2026,932,1129,FAC,0002-00000222,685,131,3,3,3,0,1110111000,23,0,0,1275000.0
2026,933,193,FAB,0003-00003646,2973,110,2,5,1,0,1110109000,28,0,0,268300.0
2026,934,1162,FAC,0001-00000033,3441,131,2,1,1,0,1110111000,23,0,0,180000.0
2026,935,1053,FAC,0003-00000197,635,110,3,5,9,0,1110103000,1,0,0,140000.0
2026,936,1096,FAB,0006-00000398,2770,131,4,3,6,0,1110104000,16,0,0,1458500.0
2026,936,1096,FAB,0006-00000398,2770,131,4,3,5,0,1110104000,16,0,0,293000.0
